ibge_code,name,uf,tom_code,created_at,extinguished_at
1100106,Guajará-Mirim,RO,1,1980-01-01,
1100379,Alto Alegre dos Parecis,RO,2,1997-01-01,
1100205,Porto Velho,RO,3,1980-01-01,
1100452,Buritis,RO,4,1997-01-01,
1100122,Ji-Paraná,RO,5,1980-01-01,
1100924,Chupinguaia,RO,6,1997-01-01,
1100023,Ariquemes,RO,7,1980-01-01,
1100940,Cujubim,RO,8,1997-01-01,
1100049,Cacoal,RO,9,1980-01-01,
1101435,Nova União,RO,10,1997-01-01,
1100189,Pimenta Bueno,RO,11,1980-01-01,
1101450,Parecis,RO,12,1997-01-01,
1100304,Vilhena,RO,13,1980-01-01,
1101468,Pimenteiras do Oeste,RO,14,1997-01-01,
1100114,Jaru,RO,15,1981-11-07,
1101476,Primavera de Rondônia,RO,16,1997-01-01,
1100155,Ouro Preto do Oeste,RO,17,1981-11-28,
1101484,São Felipe D'Oeste,RO,18,1997-01-01,
1100254,Presidente Médici,RO,19,1981-12-05,
1101492,São Francisco do Guaporé,RO,20,1997-01-01,
1100080,Costa Marques,RO,21,1981-11-06,
1101559,Teixeirópolis,RO,22,1997-01-01,
1100064,Colorado do Oeste,RO,23,1981-11-12,
1101757,Vale do Anari,RO,24,1997-01-01,
1100098,Espigão D'Oeste,RO,25,1981-11-12,
1400027,Amajari,RR,26,1997-01-01,
1100056,Cerejeiras,RO,27,1984-12-30,
1400175,Cantá,RR,28,1997-01-01,
1100288,Rolim de Moura,RO,29,1984-12-28,
1400233,Caroebe,RR,30,1997-01-01,
5204557,Caldazinha,GO,31,1980-01-01,
1400282,Iracema,RR,32,1997-01-01,
1100015,Alta Floresta D'Oeste,RO,33,1986-12-31,
1400456,Pacaraima,RR,34,1997-01-01,
1100346,Alvorada D'Oeste,RO,35,1986-12-31,
1400472,Rorainópolis,RR,36,1997-01-01,
1100031,Cabixi,RO,37,1989-01-01,
1400704,Uiramutã,RR,38,1997-01-01,
1100130,Machadinho D'Oeste,RO,39,1989-01-01,
1500859,Anapu,PA,40,1997-01-01,
1100148,Nova Brasilândia D'Oeste,RO,41,1989-01-01,
1501253,Bannach,PA,42,1997-01-01,
1100296,Santa Luzia D'Oeste,RO,43,1986-12-31,
1501451,Belterra,PA,44,1997-01-01,
1100320,São Miguel do Guaporé,RO,45,1989-01-01,
1501956,Cachoeira do Piriá,PA,46,1997-01-01,
1100338,Nova Mamoré,RO,47,1989-01-01,
1502152,Canaã dos Carajás,PA,48,1997-01-01,
5212055,Jesúpolis,GO,49,1993-01-04,
1502855,Curuá,PA,50,1997-01-01,
5218391,Professor Jamil,GO,51,1980-01-01,
1503044,Floresta do Araguaia,PA,52,1997-01-01,
5219738,Santo Antônio de Goiás,GO,53,1993-01-04,
1504422,Marituba,PA,54,1997-01-01,
5205513,Cocalzinho de Goiás,GO,55,1993-01-04,
1504976,Nova Ipixuna,PA,56,1997-01-01,
5221197,Terezópolis de Goiás,GO,57,1993-01-04,
1505635,Piçarra,PA,58,1997-01-01,
5221577,Uirapuru,GO,59,1993-01-04,
1505650,Placas,PA,60,1997-01-01,
5203962,Buritinópolis,GO,61,1993-01-04,
1506112,Quatipuru,PA,62,1997-01-01,
5203939,Buriti de Goiás,GO,63,1993-01-04,
1507466,São João da Ponta,PA,64,1997-01-01,
5209291,Guaraíta,GO,65,1980-01-01,
1507755,Sapucaia,PA,66,1997-01-01,
5222203,Vila Boa,GO,67,1993-01-04,
1508035,Tracuateua,PA,68,1997-01-01,
5209937,Inaciolândia,GO,69,1980-01-01,
1600808,Vitória do Jari,AP,70,1997-01-01,
5201454,Aparecida do Rio Doce,GO,71,1980-01-01,
1700301,Aguiarnópolis,TO,72,1997-01-01,
5205471,Chapadão do Céu,GO,73,1993-01-04,
1703057,Bandeirantes do Tocantins,TO,74,1997-01-01,
5216452,Perolândia,GO,75,1980-01-01,
1703073,Barra do Ouro,TO,76,1997-01-01,
5205497,Cidade Ocidental,GO,77,1993-01-04,
1704600,Chapada de Areia,TO,78,1997-01-01,
5213772,Montividiu do Norte,GO,79,1993-01-04,
1705102,Chapada da Natividade,TO,80,1997-01-01,
5205059,Castelândia,GO,81,1980-01-01,
1706258,Crixás do Tocantins,TO,82,1997-01-01,
5219712,Santo Antônio da Barra,GO,83,1980-01-01,
1709807,Ipueiras,TO,84,1997-01-01,
5200555,Alto Horizonte,GO,85,1993-01-04,
1712157,Lavandeira,TO,86,1997-01-01,
5214879,Nova Iguaçu de Goiás,GO,87,1993-01-04,
1712454,Luzinópolis,TO,88,1997-01-01,
5103379,Cotriguaçu,MT,89,1989-01-01,
1713700,Monte Santo do Tocantins,TO,90,1997-01-01,
5106455,Planalto da Serra,MT,91,1993-01-04,
1715507,Oliveira de Fátima,TO,92,1997-01-01,
5107404,São Pedro da Cipa,MT,93,1980-01-01,
1718451,Pugmil,TO,94,1997-01-01,
5106653,Pontal do Araguaia,MT,95,1993-01-04,
1718899,Santa Rita do Tocantins,TO,96,1997-01-01,
5107065,Querência,MT,97,1993-01-04,
1720002,Santa Terezinha do Tocantins,TO,98,1997-01-01,
5107198,Ribeirãozinho,MT,99,1980-01-01,
1720978,Talismã,TO,100,1997-01-01,
5106851,Porto Estrela,MT,101,1980-01-01,
1721257,Tupirama,TO,102,1997-01-01,
5108857,Nova Marilândia,MT,103,1980-01-01,
2100154,Água Doce do Maranhão,MA,104,1997-01-01,
1200104,Brasiléia,AC,105,1980-01-01,
2100436,Alto Alegre do Maranhão,MA,106,1997-01-01,
1200203,Cruzeiro do Sul,AC,107,1980-01-01,
2100477,Alto Alegre do Pindaré,MA,108,1997-01-01,
1200336,Mâncio Lima,AC,109,1980-01-01,
2100550,Amapá do Maranhão,MA,110,1997-01-01,
5108907,Nova Maringá,MT,111,1988-01-01,
2100832,Apicum-Açu,MA,112,1997-01-01,
1200302,Feijó,AC,113,1980-01-01,
2100873,Araguanã,MA,114,1997-01-01,
5107263,Santo Afonso,MT,115,1980-01-01,
2101251,Bacabeira,MA,116,1997-01-01,
5106158,Nova Bandeirantes,MT,117,1988-01-01,
2101350,Bacurituba,MA,118,1997-01-01,
