MUNI_CD,MUNI_NM,MUNI_UF_SG,MUNI_DT_CRIACAO,MUNI_DT_EXTINCAO
1,GUAJARÁ-MIRIM,RO,1/1/1980,
2,ALTO ALEGRE DOS PARECIS,RO,1/1/1997,
3,PORTO VELHO,RO,1/1/1980,
4,BURITIS,RO,1/1/1997,
5,JI-PARANÁ,RO,1/1/1980,
6,CHUPINGUAIA,RO,1/1/1997,
7,ARIQUEMES,RO,1/1/1980,
8,CUJUBIM,RO,1/1/1997,
9,CACOAL,RO,1/1/1980,
10,NOVA UNIÃO,RO,1/1/1997,
11,PIMENTA BUENO,RO,1/1/1980,
12,PARECIS,RO,1/1/1997,
13,VILHENA,RO,1/1/1980,
14,PIMENTEIRAS DO OESTE,RO,1/1/1997,
15,JARU,RO,7/11/1981,
16,PRIMAVERA DE RONDÔNIA,RO,1/1/1997,
17,OURO PRETO DO OESTE,RO,28/11/1981,
18,SÃO FELIPE D'OESTE,RO,1/1/1997,
19,PRESIDENTE MÉDICI,RO,5/12/1981,
20,SÃO FRANCISCO DO GUAPORÉ,RO,1/1/1997,
21,COSTA MARQUES,RO,6/11/1981,
22,TEIXEIRÓPOLIS,RO,1/1/1997,
23,COLORADO DO OESTE,RO,12/11/1981,
24,VALE DO ANARI,RO,1/1/1997,
25,ESPIGÃO D'OESTE,RO,12/11/1981,
26,AMAJARI,RR,1/1/1997,
27,CEREJEIRAS,RO,30/12/1984,
28,CANTÁ,RR,1/1/1997,
29,ROLIM DE MOURA,RO,28/12/1984,
30,CAROEBE,RR,1/1/1997,
31,CALDAZINHA,GO,1/1/1980,
32,IRACEMA,RR,1/1/1997,
33,ALTA FLORESTA D'OESTE,RO,31/12/1986,
34,PACARAIMA,RR,1/1/1997,
35,ALVORADA D'OESTE,RO,31/12/1986,
36,RORAINÓPOLIS,RR,1/1/1997,
37,CABIXI,RO,1/1/1989,
38,UIRAMUTÃ,RR,1/1/1997,
39,MACHADINHO D'OESTE,RO,1/1/1989,
40,ANAPU,PA,1/1/1997,
41,NOVA BRASILÂNDIA D'OESTE,RO,1/1/1989,
42,BANNACH,PA,1/1/1997,
43,SANTA LUZIA D'OESTE,RO,31/12/1986,
44,BELTERRA,PA,1/1/1997,
45,SÃO MIGUEL DO GUAPORÉ,RO,1/1/1989,
46,CACHOEIRA DO PIRIÁ,PA,1/1/1997,
47,Nova Mamoré,RO,1/1/1989,
